,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
4434,9000208661,2,55,0,1.0,3,1,4,2,250.0,1,1,9000208661_2,0,1,1,1,0,0,1,0,0,2,90,380,0,50,50,0,0,0,380,40,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4761,9000213981,1,45,0,1.0,1,1,5,4,42.5,0,0,9000213981_1,0,1,0,1,1,0,0,1,1,5,70,470,0,47,47,0,0,0,470,23,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1497,9000075538,3,42,0,1.0,1,0,8,1,42.5,0,1,9000075538_3,0,1,0,1,1,0,0,1,1,2,90,555,0,45,45,0,0,0,555,45,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4803,9000214730,1,33,0,1.0,2,0,5,2,30.0,0,1,9000214730_1,1,1,1,1,0,1,0,0,1,2,30,585,0,15,15,0,0,0,585,15,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
4488,9000209638,2,51,0,1.0,1,1,3,3,175.0,0,1,9000209638_2,0,1,1,1,1,0,0,1,1,3,30,70,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,0.0,0.0,0.0,0.0248235837250321,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4266,9000173471,2,29,0,1.0,1,0,2,2,87.5,0,1,9000173471_2,0,1,1,1,1,0,0,1,1,2,97,155,120,72,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,60,0,0,0,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184834056940131,0.0,0,1,0,0
4379,9000175170,1,39,0,0.0,1,1,4,2,175.0,0,1,9000175170_1,1,1,1,1,1,0,0,1,1,2,10,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15,1425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045476277507206,0,1,0,0
86,9000014198,2,69,0,1.0,1,0,2,2,87.5,0,1,9000014198_2,0,1,1,1,1,0,0,1,1,2,50,230,0,25,25,0,0,0,230,25,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4344,9000174606,1,65,0,0.0,1,1,2,2,250.0,0,1,9000174606_1,0,1,1,1,1,0,0,1,1,2,60,775,0,15,15,555,10,565,0,0,0,0,0,0,0,0,0,0,0,0,90,10,100,0,0,0,0,0,0,0,0,0,130,25,155,0,0,0,0,0,0,1185,0.0,0.0,0.0,0.0351847773211907,0.0,0.0,0.0,0.0533864480186849,0.0,0.0,0,0,0,1
921,9000052938,2,44,0,1.0,1,0,2,2,87.5,0,1,9000052938_2,0,1,1,1,1,0,0,1,1,2,45,515,0,20,20,0,0,0,515,25,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
